EntrezGeneID,Length,SYMBOL,GENENAME,MCL1-DG,MCL1-DH,MCL1-DI,MCL1-DJ,MCL1-DK,MCL1-DL,MCL1-LA,MCL1-LB,MCL1-LC,MCL1-LD,MCL1-LE,MCL1-LF
497097,3634,Xkr4,X-linked Kx blood group related 4,438,300,65,237,354,287,0,0,0,0,0,0
100503874,3259,Gm19938,"predicted gene, 19938",1,0,1,1,0,4,0,0,0,0,0,0
100038431,1634,Gm10568,predicted gene 10568,0,0,0,0,0,0,0,0,0,0,0,0
19888,9747,Rp1,retinitis pigmentosa 1 (human),1,1,0,0,0,0,10,3,10,2,0,0
20671,3130,Sox17,SRY (sex determining region Y)-box 17,106,182,82,105,43,82,16,25,18,8,3,10
27395,4203,Mrpl15,mitochondrial ribosomal protein L15,309,234,337,300,290,270,560,464,489,328,307,342
18777,2433,Lypla1,lysophospholipase 1,652,515,948,935,928,791,826,862,668,646,544,581
100503730,799,Gm19860,"predicted gene, 19860",0,1,0,0,0,0,0,1,2,0,2,2
21399,2847,Tcea1,transcription elongation factor A (SII) 1,1604,1495,1721,1317,1159,1066,1334,1258,1068,926,508,500
58175,2241,Rgs20,regulator of G-protein signaling 20,4,2,14,4,2,2,170,165,138,60,27,15
108664,1976,Atp6v1h,"ATPase, H+ transporting, lysosomal V1 subunit H",769,752,1062,987,995,903,1381,1430,1762,1570,1330,1296
18387,4707,Oprk1,"opioid receptor, kappa 1",0,0,0,0,0,0,0,0,0,0,0,0
226304,3692,Npbwr1,neuropeptides B/W receptor 1,2,0,0,0,0,0,0,0,0,0,0,0
12421,7046,Rb1cc1,RB1-inducible coiled-coil 1,1494,1412,1157,967,1603,1577,1262,1336,1288,1278,717,622
620393,858,Alkal1,ALK and LTK ligand 1,0,0,0,0,0,0,0,0,0,0,0,0
240690,6161,St18,suppression of tumorigenicity 18,0,0,0,1,0,0,0,0,1,0,0,0
319263,5232,Pcmtd1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1,1344,1242,1374,1593,2029,1982,1085,961,1036,1144,1427,1459
71096,4193,Sntg1,"syntrophin, gamma 1",1,0,1,0,0,0,0,0,0,0,0,0
59014,2048,Rrs1,ribosome biogenesis regulator 1,1691,1808,2127,1653,793,544,1207,1071,1076,948,383,409
76187,3139,Adhfe1,"alcohol dehydrogenase, iron containing, 1",18,15,15,21,24,24,26,55,172,197,247,252
72481,1246,2610203C22Rik,RIKEN cDNA 2610203C22 gene,5,3,3,4,17,12,19,15,27,53,18,12
76982,3187,Vxn,vexin,17,6,15,18,84,77,5,8,9,7,6,5
17864,3564,Mybl1,myeloblastosis oncogene-like 1,764,537,286,262,358,282,256,311,140,141,39,49
70675,5179,Vcpip1,valosin containing protein (p97)/p47 complex interacting protein 1,1501,1378,1137,1021,1181,956,1475,1636,1446,1290,473,432
73331,1494,1700034P13Rik,RIKEN cDNA 1700034P13 gene,2,1,1,2,0,1,0,0,2,0,2,1
170755,5622,Sgk3,serum/glucocorticoid regulated kinase 3,280,232,145,146,212,232,207,168,55,58,42,36
620986,451,NA,NA,61,70,58,62,61,52,127,119,67,48,33,24
240697,2553,Mcmdc2,minichromosome maintenance domain containing 2,6,3,6,4,9,8,0,1,0,0,1,0
73824,407,Snhg6,small nucleolar RNA host gene 6,352,366,424,362,195,153,405,375,206,192,93,93
266793,74,Snord87,"small nucleolar RNA, C/D box 87",10,11,11,14,8,3,8,5,3,2,3,0
100038398,2646,NA,NA,64,21,23,28,14,18,9,10,6,28,19,15
100039596,501,Tcf24,transcription factor 24,14,10,4,7,2,3,1,1,4,0,3,1
69312,1502,Ppp1r42,"protein phosphatase 1, regulatory subunit 42",1,0,1,0,1,0,1,1,1,6,1,1
26754,1240,Cops5,COP9 signalosome subunit 5,1134,1051,1174,1031,956,818,1531,1714,1426,1219,734,763
211660,4354,Cspp1,centrosome and spindle pole associated protein 1,670,606,493,434,542,551,561,623,466,497,251,266
211673,7042,Arfgef1,ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited),3447,3604,3304,2975,2983,2772,3703,3534,3018,3079,2290,2213
329093,1930,Cpa6,carboxypeptidase A6,92,121,89,61,71,63,0,0,0,0,0,0
109294,11187,Prex2,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",388,553,145,147,137,161,137,151,24,38,62,43
320492,8293,A830018L16Rik,RIKEN cDNA A830018L16 gene,16,9,2,2,0,2,5,2,2,9,0,0
329096,3200,Gm17644,"predicted gene, 17644",0,0,0,0,0,0,0,0,0,0,0,0
