EntrezGeneID,Length,SYMBOL,GENENAME,luminal.pregnant,luminal.lactation,FDR,AveExpr,P value,MCL1-LA,MCL1-LB,MCL1-LC,MCL1-LD,MCL1-LE,MCL1-LF,MCL1-DG,MCL1-DH,MCL1-DI,MCL1-DJ,MCL1-DK,MCL1-DL,MCL1-LA CPM,MCL1-LB CPM,MCL1-LC CPM,MCL1-LD CPM,MCL1-LE CPM,MCL1-LF CPM,MCL1-DG CPM,MCL1-DH CPM,MCL1-DI CPM,MCL1-DJ CPM,MCL1-DK CPM,MCL1-DL CPM
13645,4757,Egf,epidermal growth factor,0,5.34885788169704,0.00000174099799453877,0.735427360030543,1.28113469556553e-10,14,17,38,46,1065,1071,15,12,11,9,26,24,0.687,0.783,1.709,2.092,43.076,43.435,0.646,0.551,0.456,0.397,1.208,1.199
13631,6325,Eef2k,eukaryotic elongation factor-2 kinase,0,1.88977175340908,0.00000174099799453877,5.91784936019427,7.7127206310353e-11,716,767,1170,1099,2544,2692,1229,1116,1626,1486,1536,1515,35.112,35.332,52.604,49.981,102.897,109.177,52.911,51.245,67.467,65.563,71.345,75.692
12992,765,Csn1s2b,casein alpha s2-like B,0,8.5900948857783,0.00000301921654715837,3.56247274831918,3.3325912069889e-10,88,62,311,465,90958,90464,3,5,21,24,1427,1216,4.315,2.856,13.983,21.148,3678.961,3668.854,0.129,0.230,0.871,1.059,66.282,60.753
380714,931,Rph3al,rabphilin 3A-like (without C2 domains),0,2.67483354754699,0.00000949984889785867,2.75489785546017,2.44670305327682e-9,120,130,114,102,423,438,204,202,66,68,160,135,5.885,5.989,5.126,4.639,17.109,17.764,8.783,9.275,2.739,3.000,7.432,6.745
230810,3313,Slc30a2,"solute carrier family 30 (zinc transporter), member 2",0,3.18980927475754,0.00000949984889785867,2.69533418295432,2.38954530888413e-9,88,74,476,456,2640,2656,55,66,51,29,40,37,4.315,3.409,21.401,20.738,106.780,107.717,2.368,3.031,2.116,1.279,1.858,1.849
27224,4592,Eloa,elongin A,0,2.02258974125505,0.00000949984889785867,6.69193308984408,1.94595408588039e-9,2062,2358,2310,2225,5546,5932,2758,2409,1596,1377,1378,1413,101.118,108.623,103.859,101.190,224.318,240.578,118.738,110.617,66.222,60.753,64.006,70.596
66885,3348,Acadsb,"acyl-Coenzyme A dehydrogenase, short/branched chain",0,1.87561581889318,0.00000949984889785867,6.16830364030838,1.9991240980769e-9,1050,1145,1464,1349,3054,3378,1340,1294,1510,1345,1951,1781,51.490,52.745,65.823,61.351,123.525,136.998,57.690,59.418,62.654,59.342,90.621,88.982
13358,1678,Slc25a1,"solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1",0,4.11103480475195,0.00000989261924570997,5.77922165092368,3.07360454697598e-9,899,865,1163,1090,10983,13371,846,629,575,499,705,754,44.086,39.847,52.289,49.572,444.227,542.274,36.422,28.883,23.858,22.016,32.746,37.671
68603,1506,Pmvk,phosphomevalonate kinase,0,2.66373129938619,0.00000989261924570997,4.72262954316325,3.27582226025202e-9,476,510,506,453,1837,1947,352,375,428,401,689,574,23.342,23.493,22.750,20.602,74.301,78.962,15.154,17.219,17.759,17.692,32.003,28.678
109672,749,Cyb5a,cytochrome b5 type A (microsomal),0,1.53847346025636,0.00000989702304825052,4.93907443176724,4.00556508814731e-9,849,889,502,434,831,860,866,756,552,467,740,737,41.634,40.952,22.570,19.738,33.611,34.878,37.283,34.714,22.904,20.604,34.372,36.822
